Year,Age 10-14 Years,Age 15-19 Years,Age 20-24 Years,Age 25-29 Years,Age 30-34 Years,Age 35-39 Years,Age 40-44 Years,Age 45-49 Years,,,,
2009,0.5,37.9,96.2,111.5,97.5,46.1,10,0.7,,,,
2010,0.4,34.2,90,108.3,96.5,45.9,10.2,0.7,,,,
2011,0.4,31.3,85.3,107.2,96.5,47.2,10.3,0.7,,,,
2012,0.4,29.4,83.1,106.5,97.3,48.3,10.4,0.7,,,,
2013,0.3,26.5,80.7,105.5,98,49.3,10.4,0.8,,,,
2014,0.3,24.2,79,105.8,100.8,51,10.6,0.8,,,,
2015,0.2,22.3,76.8,104.3,101.5,51.8,11,0.8,,,,
2016,0.2,20.3,73.8,102.1,102.7,52.7,11.4,0.9,,,,
2017,0.2,18.8,71,98,100.3,52.3,11.6,0.9,,,,
2018,0.2,17.4,68,95.3,99.7,52.6,11.8,0.9,,,,
